2008_071	2008-09-09
2008_072	2008-09-10
2008_073	2008-09-11
2008_074	2008-09-12
2008_075	2008-09-16
2008_077	2008-09-18
2008_078	2008-09-19
2008_079	2008-09-23
2008_081	2008-09-25
2008_082	2008-09-26
2008_089	2008-10-09
2008_090	2008-10-10
2008_094	2008-10-17
2008_095	2008-10-21
2008_097	2008-10-23
2008_099	2008-10-24
2008_100	2008-11-04
2008_101	2008-11-05
2008_102	2008-11-06
2008_103	2008-11-07
2008_104	2008-11-11
2008_105	2008-11-12
2008_106	2008-11-13
2008_107	2008-11-14
2008_108	2008-11-18
2008_109	2008-11-19
2008_110	2008-11-20
2008_111	2008-11-21
2008_112	2008-11-25
2008_113	2008-11-26
2008_114	2008-11-27
2008_115	2008-11-28
2008_116	2008-12-02
2008_117	2008-12-03
2008_118	2008-12-04
2008_119	2008-12-05
2008_120	2008-12-08
2008_121	2008-12-09
2008_123	2008-12-10
2008_124	2008-12-11
2008_125	2008-12-12
2008_126	2008-12-15
2008_127	2008-12-16
2008_128	2008-12-17
2008_129	2008-12-18
2008_130	2008-12-19
2009_001	2009-02-03
2009_002	2009-02-04
2009_003	2009-02-05
2009_004	2009-02-06
2009_005	2009-02-10
2009_006	2009-02-11
2009_008	2009-02-13
2009_009	2009-02-17
2009_010	2009-02-18
2009_011	2009-02-19
2009_012	2009-02-20
2009_013	2009-02-24
2009_014	2009-02-25
2009_015	2009-02-26
2009_016	2009-02-27
2009_017	2009-03-03
2009_018	2009-03-04
2009_019	2009-03-05
2009_020	2009-03-06
2009_021	2009-03-10
2009_022	2009-03-11
2009_023	2009-03-12
2009_024	2009-03-13
2009_025	2009-03-17
2009_026	2009-03-18
2009_027	2009-03-19
2009_028	2009-03-20
2009_029	2009-03-24
2009_030	2009-03-25
2009_031	2009-03-26
2009_032	2009-03-27
2009_033	2009-03-31
2009_034	2009-04-01
2009_035	2009-04-02
2009_036	2009-04-03
2009_037	2009-04-14
2009_038	2009-04-15
2009_039	2009-04-16
2009_040	2009-04-17
2009_041	2009-04-21
2009_042	2009-04-22
2009_043	2009-04-23
2009_044	2009-04-24
2009_045	2009-04-28
2009_046	2009-04-29
2009_047	2009-05-05
2009_048	2009-05-06
2009_049	2009-05-07
2009_050	2009-05-08
2009_052	2009-05-14
2009_057	2009-05-27
2009_058	2009-05-28
2009_059	2009-05-29
2009_060	2009-06-02
2009_062	2009-06-04
2009_063	2009-06-05
2009_064	2009-06-09
2009_065	2009-06-10
2009_066	2009-06-11
2009_067	2009-06-12
2009_068	2009-06-15
2009_069	2009-06-16
2009_070	2009-06-17
2009_071	2009-06-18
2009_072	2009-09-08
2009_073	2009-09-09
2009_074	2009-09-10
2009_075	2009-09-11
2009_076	2009-09-15
2009_077	2009-09-16
2009_078	2009-09-17
2009_079	2009-09-18
2009_080	2009-09-22
2009_081	2009-09-23
2009_082	2009-09-24
2009_083	2009-09-25
2009_084	2009-09-29
2009_085	2009-09-30
2009_086	2009-10-01
2009_087	2009-10-06
2009_088	2009-10-07
2009_089	2009-10-08
2009_090	2009-10-09
2009_091	2009-10-13
2009_092	2009-10-14
2009_093	2009-10-15
2009_094	2009-10-16
2009_095	2009-10-20
2009_096	2009-10-21
2009_097	2009-10-22
2009_098	2009-10-23
2009_099	2009-11-03
2009_100	2009-11-04
2009_101	2009-11-05
2009_102	2009-11-06
2009_103	2009-11-10
2009_104	2009-11-11
2009_105	2009-11-12
2009_106	2009-11-13
2009_107	2009-11-17
2009_109	2009-11-19
2009_110	2009-11-20
2009_111	2009-11-24
2009_112	2009-11-25
2009_113	2009-11-26
2009_114	2009-11-27
2009_115	2009-11-30
2009_116	2009-12-01
2009_117	2009-12-02
2009_118	2009-12-03
2009_119	2009-12-04
2009_120	2009-12-07
2009_121	2009-12-08
2009_122	2009-12-09
2009_123	2009-12-10
2009_124	2009-12-11
2009_125	2009-12-14
2009_126	2009-12-15
2009_127	2009-12-16
2009_128	2009-12-17
2009_129	2009-12-18
2010_001	2010-02-02
2010_002	2010-02-03
2010_003	2010-02-04
2010_004	2010-02-05
2010_005	2010-02-09
2010_006	2010-02-10
2010_007	2010-02-11
2010_008	2010-02-12
2010_009	2010-02-16
2010_010	2010-02-18
2010_011	2010-02-19
2010_012	2010-02-23
2010_014	2010-02-25
2010_015	2010-02-26
2010_016	2010-03-02
2010_017	2010-03-03
2010_019	2010-03-05
2010_020	2010-03-09
2010_021	2010-03-10
2010_022	2010-03-11
2010_023	2010-03-12
2010_024	2010-03-16
2010_025	2010-03-17
2010_026	2010-03-18
2010_027	2010-03-19
2010_028	2010-03-23
2010_029	2010-03-24
2010_030	2010-03-25
2010_031	2010-03-26
2010_032	2010-04-06
2010_033	2010-04-07
2010_034	2010-04-08
2010_035	2010-04-09
2010_036	2010-04-13
2010_037	2010-04-14
2010_038	2010-04-15
2010_039	2010-04-20
2010_040	2010-04-21
2010_041	2010-04-22
2010_042	2010-04-23
2010_043	2010-04-27
2010_044	2010-04-28
2010_045	2010-04-29
2010_046	2010-05-04
2010_047	2010-05-05
2010_048	2010-05-06
2010_049	2010-05-07
2010_050	2010-05-11
2010_051	2010-05-12
2010_052	2010-05-18
2010_053	2010-05-19
2010_054	2010-05-20
2010_055	2010-05-21
2010_056	2010-05-26
2010_057	2010-05-27
2010_058	2010-06-01
2010_059	2010-06-02
2010_060	2010-06-03
2010_061	2010-06-04
2010_062	2010-06-08
2010_063	2010-06-09
2010_064	2010-06-10
2010_065	2010-06-15
2010_066	2010-06-16
2010_067	2010-06-17
2010_068	2010-06-18
2010_069	2010-06-21
2010_070	2010-06-22
2010_071	2010-06-22
2010_072	2010-06-23
2010_073	2010-06-23
2010_074	2010-06-24
2010_075	2010-06-29
2010_076	2010-06-30
2010_077	2010-07-01
2010_078	2010-09-07
2010_079	2010-09-08
2010_080	2010-09-09
2010_081	2010-09-10
2010_082	2010-09-14
2010_083	2010-09-15
2010_084	2010-09-16
2010_085	2010-09-17
2010_086	2010-09-21
2010_087	2010-09-22
2010_088	2010-09-23
2010_089	2010-09-24
2010_090	2010-09-28
2010_091	2010-09-29
2010_092	2010-09-30
2010_093	2010-10-01
2010_094	2010-10-05
2010_095	2010-10-06
2010_096	2010-10-07
2010_097	2010-10-08
2010_098	2010-10-12
2010_099	2010-10-13
2010_100	2010-10-14
2010_101	2010-10-15
2010_102	2010-10-19
2010_103	2010-10-20
2010_104	2010-10-21
2010_105	2010-10-22
2010_106	2010-10-26
2010_107	2010-10-27
2010_108	2010-10-28
2010_109	2010-10-29
2010_110	2010-11-09
2010_111	2010-11-10
2010_112	2010-11-11
2010_113	2010-11-12
2010_114	2010-11-16
2010_115	2010-11-17
2010_116	2010-11-18
2010_117	2010-11-19
2010_118	2010-11-23
2010_119	2010-11-24
2010_120	2010-11-25
2010_121	2010-11-26
2010_122	2010-11-30
2010_123	2010-12-01
2010_124	2010-12-02
2010_125	2010-12-03
2010_126	2010-12-07
2010_127	2010-12-08
2010_128	2010-12-09
2010_129	2010-12-10
2010_130	2010-12-13
2010_131	2010-12-14
2010_132	2010-12-15
2010_133	2010-12-16
2010_134	2010-12-17
2011_135	2011-01-11
2011_136	2011-01-12
2011_137	2011-01-13
2011_138	2011-01-14
2011_139	2011-01-18
2011_140	2011-01-19
2011_141	2011-01-20
2011_142	2011-01-21
2011_143	2011-01-25
2011_144	2011-01-26
2011_145	2011-01-27
2011_146	2011-01-28
2011_147	2011-02-01
2011_148	2011-02-02
2011_149	2011-02-03
2011_150	2011-02-04
2011_151	2011-02-08
2011_152	2011-02-09
2011_153	2011-02-10
2011_154	2011-02-11
2011_155	2011-02-15
2011_156	2011-02-16
2011_157	2011-02-17
2011_158	2011-02-18
2011_159	2011-02-22
2011_160	2011-02-23
2011_161	2011-02-24
2011_162	2011-02-25
2011_163	2011-03-01
2011_164	2011-03-02
2011_165	2011-03-03
2011_166	2011-03-04
2011_167	2011-03-08
2011_168	2011-03-09
